workflow,subject_id,label,rationale
taxonomy,Particle Swarm Optimization (PSO)::10.1109/ccdc49329.2020.9164641,,
taxonomy,Particle Swarm Optimization (PSO)::10.1109/icmlc.2014.7009102,,
taxonomy,Particle Swarm Optimization (PSO)::10.1109/pecon.2016.7951542,,
taxonomy,Particle Swarm Optimization (PSO)::10.32604/ee.2022.017687,,
taxonomy,Robust Optimization::10.1016/j.apenergy.2024.123103,,
taxonomy,Robust Optimization::10.1016/j.conbuildmat.2021.125839,,
taxonomy,Robust Optimization::10.1016/j.fluid.2022.113682,,
taxonomy,Robust Optimization::10.1016/j.ijepes.2020.105845,,
taxonomy,Robust Optimization::10.1016/j.ijepes.2020.106576,,
taxonomy,Robust Optimization::10.1016/j.rser.2024.114808,,
taxonomy,Robust Optimization::10.1109/ei252483.2021.9712930,,
taxonomy,Robust Optimization::10.1109/ei264398.2024.10991626,,
taxonomy,Robust Optimization::10.1109/igbsg.2019.8886226,,
taxonomy,Robust Optimization::10.1109/pmaps47429.2020.9183564,,
taxonomy,Robust Optimization::10.1109/tpwrs.2020.3001235,,
taxonomy,Robust Optimization::10.1109/tsg.2022.3181987,,
taxonomy,Stochastic Programming::10.1016/j.apenergy.2017.12.076,,
taxonomy,Stochastic Programming::10.1016/j.apenergy.2018.03.023,,
taxonomy,Stochastic Programming::10.1016/j.apenergy.2020.115720,,
taxonomy,Stochastic Programming::10.1016/j.dib.2025.111717,,
taxonomy,Stochastic Programming::10.1016/j.epsr.2019.02.013,,
taxonomy,Stochastic Programming::10.1016/j.epsr.2020.106483,,
taxonomy,Stochastic Programming::10.1016/j.ijepes.2021.107212,,
taxonomy,Stochastic Programming::10.1016/j.ijepes.2021.107214,,
taxonomy,Stochastic Programming::10.1016/j.ijhydene.2025.01.010,,
taxonomy,Stochastic Programming::10.1016/j.sftr.2026.101821,,
taxonomy,Stochastic Programming::10.1109/pesgm52009.2025.11225127,,
taxonomy,Stochastic Programming::10.1109/tpwrs.2010.2103576,,
